config,attack,watermark,conf,bit_acc,bits,pesq
AU_TI_AW,highpass_500,AudioSeal,0.9511761665344238,0.9375,0110111111101100,3.174
AU_TI_AW,highpass_500,Timbre,1.0,1.0,1111001110,3.174
AU_TI_AW,highpass_500,AWARE,0.9984177213301442,1.0,01101111111001000001,3.174
AU_TI_AW,volume_0.5,AudioSeal,0.9993085265159607,1.0,0110111111100100,3.135
AU_TI_AW,volume_0.5,Timbre,1.0,1.0,1111001110,3.135
AU_TI_AW,volume_0.5,AWARE,0.9984267146097184,1.0,01101111111001000001,3.135
AU_TI_AW,quantize_8bit,AudioSeal,0.6786848306655884,1.0,0110111111100100,2.162
AU_TI_AW,quantize_8bit,Timbre,1.0,1.0,1111001110,2.162
AU_TI_AW,quantize_8bit,AWARE,0.9966814939218731,1.0,01101111111001000001,2.162
AU_TI_AW,echo,AudioSeal,0.9972306489944458,1.0,0110111111100100,2.045
AU_TI_AW,echo,Timbre,1.0,1.0,1111001110,2.045
AU_TI_AW,echo,AWARE,0.982104559493912,1.0,01101111111001000001,2.045
AU_TI_AW,sample_suppress,AudioSeal,0.9998099207878113,1.0,0110111111100100,3.073
AU_TI_AW,sample_suppress,Timbre,1.0,1.0,1111001110,3.073
AU_TI_AW,sample_suppress,AWARE,0.9983921239070832,1.0,01101111111001000001,3.073
AU_TI_AW,noise_20db,AudioSeal,0.5770520567893982,1.0,0110111111100100,1.863
AU_TI_AW,noise_20db,Timbre,1.0,1.0,1111001110,1.863
AU_TI_AW,noise_20db,AWARE,0.9950581123182155,1.0,01101111111001000001,1.863
AU_TI_AW,noise_10db,AudioSeal,0.33297327160835266,0.875,0110111111101101,1.244
AU_TI_AW,noise_10db,Timbre,0.9,0.9,1110001110,1.244
AU_TI_AW,noise_10db,AWARE,0.9546198080618552,1.0,01101111111001000001,1.244
AU_TI_AW,noise_5db,AudioSeal,0.29786911606788635,0.875,0110111111101101,1.127
AU_TI_AW,noise_5db,Timbre,0.8,0.8,0110001110,1.127
AU_TI_AW,noise_5db,AWARE,0.8794073596941754,0.95,01001111111001000001,1.127
AU_TI_AW,tempo_up_10,AudioSeal,0.2838817238807678,0.625,1010011111110001,
AU_TI_AW,tempo_up_10,Timbre,1.0,1.0,1111001110,
AU_TI_AW,tempo_up_10,AWARE,0.994908048457686,1.0,01101111111001000001,
AU_TI_AW,tempo_down_10,AudioSeal,0.35924023389816284,0.75,0010111111111101,
AU_TI_AW,tempo_down_10,Timbre,1.0,1.0,1111001110,
AU_TI_AW,tempo_down_10,AWARE,0.9938845485381852,1.0,01101111111001000001,
AU_TI_AW,denoise,AudioSeal,0.3051576316356659,0.625,0011111111011110,3.49
AU_TI_AW,denoise,Timbre,1.0,1.0,1111001110,3.49
AU_TI_AW,denoise,AWARE,0.9941193030098506,1.0,01101111111001000001,3.49
AU_TI_AW,crop_30s,AudioSeal,0.9991604089736938,1.0,0110111111100100,
AU_TI_AW,crop_30s,Timbre,1.0,1.0,1111001110,
AU_TI_AW,crop_30s,AWARE,0.6815011207868621,0.8,00101111111000100101,
AU_TI_AW,crop_10s,AudioSeal,0.9974812269210815,1.0,0110111111100100,
AU_TI_AW,crop_10s,Timbre,1.0,1.0,1111001110,
AU_TI_AW,crop_10s,AWARE,0.20611532844464067,0.55,00111111000000110101,
AU_TI_AW,crop_5s,AudioSeal,0.9949625134468079,1.0,0110111111100100,
AU_TI_AW,crop_5s,Timbre,1.0,1.0,1111001110,
AU_TI_AW,crop_5s,AWARE,0.5311416639382616,0.7,00111111001001100101,
